feature,importance
ui_last_action_gap_hour,0.23223728
ui_has_cart_7d,0.071304485
cate_buy_rate_7d,0.063060194
ui_cart_cnt_7d,0.044932365
current_behavior_type,0.038336974
cate_cart_rate_7d,0.02770568
user_buy_rate_7d,0.026693197
is_night,0.021898631
ui_has_buy_7d,0.021643043
cate_night_behavior_cnt_7d,0.021030283
ui_buy_cnt_7d,0.021024425
user_cart_rate_7d,0.019976774
ui_buy_rate_7d,0.01983065
user_pv_cnt_7d,0.019121617
weekday,0.016794844
ui_total_behavior_7d,0.014969034
cate_total_behavior_7d,0.0132381255
ui_cart_rate_7d,0.013198157
user_total_behavior_7d,0.013051244
is_weekend,0.01235068
cate_pv_cnt_7d,0.011748283
item_cart_rate_7d,0.01140582
ui_pv_cnt_7d,0.009875405
cate_fav_cnt_7d,0.009639504
uc_buy_cnt_7d,0.009273325
hour,0.009195847
cate_weekend_behavior_cnt_7d,0.008869796
item_buy_rate_7d,0.008454342
uc_cart_cnt_7d,0.00757059
item_buy_cnt_7d,0.0072443355
uc_pv_cnt_7d,0.0071999496
user_buy_cnt_7d,0.0068982355
uc_buy_rate_7d,0.0068240226
user_fav_rate_7d,0.0063734385
item_total_behavior_7d,0.0063578286
user_fav_cnt_7d,0.0061581964
uc_total_behavior_7d,0.0059586423
user_active_days_7d,0.0057290974
cate_weekend_buy_ratio_7d,0.005646104
cate_weekend_ratio_7d,0.005490124
user_last_action_gap_hour,0.0054046083
cate_cart_cnt_7d,0.0051426487
user_night_behavior_cnt_7d,0.005110609
user_cart_cnt_7d,0.005033391
uc_last_action_gap_hour,0.004909912
user_weekend_ratio_7d,0.0048348466
user_weekend_behavior_cnt_7d,0.004692896
user_night_ratio_7d,0.0046779597
cate_weekend_buy_cnt_7d,0.0045719594
item_unique_user_7d,0.0044938577
cate_night_ratio_7d,0.0043086647
cate_night_buy_cnt_7d,0.004212978
cate_buy_cnt_7d,0.0042126705
cate_night_buy_ratio_7d,0.0041709044
uc_fav_cnt_7d,0.0040249173
item_cart_cnt_7d,0.0038094514
item_weekend_ratio_7d,0.0037123018
item_night_ratio_7d,0.0036728883
item_weekend_behavior_cnt_7d,0.0036146024
ui_fav_cnt_7d,0.0036131484
item_night_behavior_cnt_7d,0.0036075138
item_pv_cnt_7d,0.0035137709
item_weekend_buy_ratio_7d,0.0032971287
item_night_buy_cnt_7d,0.0032883666
item_night_buy_ratio_7d,0.0027106719
ui_has_fav_7d,0.0026216696
item_fav_cnt_7d,0.0023432034
item_weekend_buy_cnt_7d,0.0020819113
