model,dataset,sampling_method,sampling_ratio,train_positive_count,train_negative_count,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,Validation,RandomUnderSampling,0.05,10602,212040,20.0,0.7363486817434087,0.04758767388889935,0.5421402530559726,0.08749524106184889,0.6784818372334762,0.04259903822681817
Logistic Regression,Test,RandomUnderSampling,0.05,10602,212040,20.0,0.7074829251707483,0.026444429357050717,0.5761834319526628,0.050567997403440444,0.6807090306310444,0.02567155225286221
XGBoost,Validation,RandomUnderSampling,0.05,10602,212040,20.0,0.752038760193801,0.05630937567893188,0.6114089641861462,0.10312149600318299,0.7480545698408305,0.07655177816321992
XGBoost,Test,RandomUnderSampling,0.05,10602,212040,20.0,0.7361526384736152,0.03273976182476575,0.6486686390532544,0.06233341625501972,0.7560748260778263,0.050160825714918034
Logistic Regression,Validation,RandomUnderSampling,0.1,10602,106020,10.0,0.7424137120685603,0.04784605882807072,0.5316319965687326,0.08779105799026118,0.6745234214663126,0.04199284018219721
Logistic Regression,Test,RandomUnderSampling,0.1,10602,106020,10.0,0.7231627683723163,0.02701537577238109,0.5562130177514792,0.05152802521584213,0.6755051612671812,0.025034752209654496
XGBoost,Validation,RandomUnderSampling,0.1,10602,106020,10.0,0.7445287226436132,0.05501140480343486,0.6154835942526271,0.10099588274624345,0.7442656366452811,0.07534061867871514
XGBoost,Test,RandomUnderSampling,0.1,10602,106020,10.0,0.7299427005729943,0.03216864833321176,0.6523668639053254,0.061313868613138686,0.7552295716310791,0.04706774085988209
Logistic Regression,Validation,RandomUnderSampling,0.2,10602,53010,5.0,0.7423037115185576,0.04775595261065874,0.5307741797126313,0.08762767972525624,0.6693796547584898,0.0411503912974086
Logistic Regression,Test,RandomUnderSampling,0.2,10602,53010,5.0,0.7323326766732333,0.026916347120360375,0.5347633136094675,0.05125296848970333,0.6693586155169355,0.024412964792045848
XGBoost,Validation,RandomUnderSampling,0.2,10602,53010,5.0,0.7467237336186681,0.05662669185979254,0.6298520265923225,0.1039112667834209,0.7512774257468422,0.07683559595019278
XGBoost,Test,RandomUnderSampling,0.2,10602,53010,5.0,0.7365226347736523,0.03275011215791835,0.6479289940828402,0.062348754448398575,0.7531953399000377,0.046565285176484346
Logistic Regression,Validation,RandomUnderSampling,0.3,10602,35340,3.3333333333333335,0.743523717618588,0.04789420615838052,0.5297019086425048,0.0878456477282831,0.6669095711740441,0.04083038540211534
Logistic Regression,Test,RandomUnderSampling,0.3,10602,35340,3.3333333333333335,0.7382626173738263,0.02701981707317073,0.5244082840236687,0.05139170774137431,0.6654529280820572,0.02409711879480945
XGBoost,Validation,RandomUnderSampling,0.3,10602,35340,3.3333333333333335,0.7310886554432772,0.05441152457499501,0.6431481878618915,0.10033456005352961,0.7524701450653604,0.075234694560797
XGBoost,Test,RandomUnderSampling,0.3,10602,35340,3.3333333333333335,0.7157928420715793,0.031629580925355574,0.6760355029585798,0.06043174980991107,0.7594217516218071,0.04715933225494209
Logistic Regression,Validation,RandomUnderSampling,0.5,10602,21204,2.0,0.744998724993625,0.047658095628575335,0.5234827364357709,0.08736265702730754,0.663748177519045,0.04036726943390749
Logistic Regression,Test,RandomUnderSampling,0.5,10602,21204,2.0,0.7429125708742913,0.02699343612848099,0.5140532544378699,0.05129340566072549,0.6615862589081449,0.023798236408625884
XGBoost,Validation,RandomUnderSampling,0.5,10602,21204,2.0,0.7163485817429087,0.052988547193461424,0.6618057044820931,0.09812088645830021,0.7517457675945358,0.07711085486630954
XGBoost,Test,RandomUnderSampling,0.5,10602,21204,2.0,0.6957730422695773,0.031128028128124898,0.7137573964497042,0.05965443699193274,0.7632774703402734,0.04659763551986089
Logistic Regression,Validation,RandomUnderSampling,0.7,10602,15145,1.4285040558385211,0.7507287536437682,0.04818939833236688,0.5168346558009865,0.08815890551267513,0.664330644412824,0.04061428129686402
Logistic Regression,Test,RandomUnderSampling,0.7,10602,15145,1.4285040558385211,0.7561224387756122,0.027486051854282902,0.49556213017751477,0.052083333333333336,0.6616723180164016,0.0238351284831992
XGBoost,Validation,RandomUnderSampling,0.7,10602,15145,1.4285040558385211,0.706163530817654,0.05155493667528679,0.6669526056187004,0.09571144998230416,0.7508311023007204,0.0762964658138246
XGBoost,Test,RandomUnderSampling,0.7,10602,15145,1.4285040558385211,0.6914430855691444,0.030758954131942236,0.7152366863905325,0.058981396767307105,0.7652509853385511,0.046909834202710186
Logistic Regression,Validation,RandomUnderSampling,1.0,10602,10602,1.0,0.7476237381186905,0.04752686472819216,0.5159768389448852,0.08703673557979272,0.6626299494650594,0.04011755505540652
Logistic Regression,Test,RandomUnderSampling,1.0,10602,10602,1.0,0.7532924670753293,0.02697878210069374,0.4918639053254438,0.05115187877389331,0.6585663324832092,0.023486308449625924
XGBoost,Validation,RandomUnderSampling,1.0,10602,10602,1.0,0.6928284641423207,0.05034295943098833,0.6815354921724212,0.09376014161380734,0.7485563468764107,0.07408696476731087
XGBoost,Test,RandomUnderSampling,1.0,10602,10602,1.0,0.6761132388676113,0.029471513901943542,0.7189349112426036,0.056621908950572335,0.7584126114817096,0.04391381669778781
